Date,Symbol,Return,,Date,Symbol,Return,,Alpha,,,,,
11/15/99,BBY,-0.0130331,,11/15/99,SPY,0.002347721,,-0.015704615,,,,,
11/16/99,BBY,0.006002324,,11/16/99,SPY,0.00836609,,-0.003517606,,,,,
11/17/99,BBY,-0.023866348,,11/17/99,SPY,0.002654867,,-0.026887371,,,,,
11/18/99,BBY,-0.026894944,,11/18/99,SPY,0.0070609,,-0.034929674,,,,,
11/19/99,BBY,0.010050332,,11/19/99,SPY,-0.000876424,,0.011047632,,,,,
11/22/99,BBY,0.024875701,,11/22/99,SPY,-0.000219621,,0.025125612,,,,,
11/23/99,BBY,0.048543608,,11/23/99,SPY,-0.008773857,,0.058527543,,,,,
11/24/99,BBY,0.028935185,,11/24/99,SPY,0.005310911,,0.0228918,,,,,
11/26/99,BBY,0.041619798,,11/26/99,SPY,-0.003741698,,0.045877545,,,,,
11/29/99,BBY,0.151187905,,11/29/99,SPY,-0.00353513,,0.155210596,,,,,
11/30/99,BBY,-0.061913696,,11/30/99,SPY,-0.011751989,,-0.048540888,,,,,
12/1/99,BBY,0.064,,12/1/99,SPY,0.008077185,,0.054808821,,,,,
12/2/99,BBY,-0.067669173,,12/2/99,SPY,0.006009677,,-0.074507697,,,,,
12/3/99,BBY,-0.088709742,,12/3/99,SPY,0.018362506,,-0.10960478,,,,,
12/6/99,BBY,-0.061946836,,12/6/99,SPY,-0.007386489,,-0.053541612,,,,,
12/7/99,BBY,-0.041273585,,12/7/99,SPY,-0.008097733,,-0.032059024,,,,,
12/8/99,BBY,-0.062730627,,12/8/99,SPY,-0.006399266,,-0.055448784,,,,,
12/9/99,BBY,-0.081364829,,12/9/99,SPY,0.004885633,,-0.086924283,,,,,
12/10/99,BBY,0.100000091,,12/10/99,SPY,0.003315244,,0.096227614,,,,,
12/13/99,BBY,0.071428482,,12/13/99,SPY,0.001762115,,0.069423339,,,,,
12/14/99,BBY,-0.04969697,,12/14/99,SPY,-0.009674582,,-0.038688082,,,,,
12/15/99,BBY,-0.035714286,,12/15/99,SPY,0.005328597,,-0.041777795,,,,,
12/16/99,BBY,0.067460317,,12/16/99,SPY,0.004416961,,0.062434175,,,,,
12/17/99,BBY,-0.063197026,,12/17/99,SPY,0.003957784,,-0.067700662,,,,,
12/20/99,BBY,-0.035714286,,12/20/99,SPY,-0.007227655,,-0.027489803,,,,,
12/21/99,BBY,-0.023319616,,12/21/99,SPY,0.015222037,,-0.040641056,,,,,
12/22/99,BBY,-0.004213483,,12/22/99,SPY,0.002607562,,-0.007180676,,,,,
12/23/99,BBY,0.01551481,,12/23/99,SPY,0.015929252,,-0.002611383,,,,,
12/27/99,BBY,-0.038888889,,12/27/99,SPY,-0.001386463,,-0.037311207,,,,,
12/28/99,BBY,0.031791908,,12/28/99,SPY,-0.000640574,,0.032520829,,,,,
12/29/99,BBY,0.058823529,,12/29/99,SPY,0.004275331,,0.05395855,,,,,
12/30/99,BBY,0.042328127,,12/30/99,SPY,-0.001170922,,0.043660541,,,,,
12/31/99,BBY,0.020304486,,12/31/99,SPY,0.001598507,,0.018485515,,,,,
1/3/00,BBY,0.149253731,,1/3/00,SPY,-0.009787234,,0.160390807,,,,,
1/4/00,BBY,-0.006493506,,1/4/00,SPY,-0.039106145,,0.038006105,,,,,
1/5/00,BBY,-0.006535948,,1/5/00,SPY,0.001788909,,-0.00857158,,,,,
1/6/00,BBY,-0.008772,,1/6/00,SPY,-0.016071429,,0.009515978,,,,,
1/7/00,BBY,0.030973595,,1/7/00,SPY,0.058076225,,-0.035112423,,,,,
1/10/00,BBY,-0.01072975,,1/10/00,SPY,0.003430532,,-0.014633416,,,,,
1/11/00,BBY,-0.030368696,,1/11/00,SPY,-0.011965812,,-0.016752576,,,,,
1/12/00,BBY,-0.025727069,,1/12/00,SPY,-0.009948097,,-0.014406945,,,,,
1/13/00,BBY,-0.026406429,,1/13/00,SPY,0.013543032,,-0.041817298,,,,,
1/14/00,BBY,0.034198038,,1/14/00,SPY,0.013577269,,0.01874821,,,,,
1/18/00,BBY,-0.004560931,,1/18/00,SPY,-0.007867008,,0.004391084,,,,,
1/19/00,BBY,0.040091638,,1/19/00,SPY,0.008144021,,0.030824405,,,,,
1/20/00,BBY,-0.033039577,,1/20/00,SPY,-0.015306122,,-0.015622455,,,,,
1/21/00,BBY,-0.015092573,,1/21/00,SPY,-0.002158895,,-0.012635926,,,,,
1/24/00,BBY,-0.044809296,,1/24/00,SPY,-0.028343027,,-0.012557237,,,,,
1/25/00,BBY,0.036319613,,1/25/00,SPY,0.011356377,,0.02339698,,,,,
1/26/00,BBY,-0.031542056,,1/26/00,SPY,-0.007926024,,-0.022522886,,,,,
1/27/00,BBY,-0.013268999,,1/27/00,SPY,-0.003994674,,-0.008723385,,,,,
1/28/00,BBY,-0.02200489,,1/28/00,SPY,-0.031194296,,0.01349168,,,,,
1/31/00,BBY,-0.045,,1/31/00,SPY,0.027138914,,-0.075881876,,,,,
2/1/00,BBY,0.040575916,,2/1/00,SPY,0.009852217,,0.029364895,,,,,
2/2/00,BBY,0.001257781,,2/2/00,SPY,0.000886918,,0.000248541,,,,,
2/3/00,BBY,0.046482577,,2/3/00,SPY,0.015064245,,0.029340692,,,,,
2/4/00,BBY,0.092436891,,2/4/00,SPY,-0.004146982,,0.097155819,,,,,
2/7/00,BBY,-0.032967033,,2/7/00,SPY,-0.001533756,,-0.031221743,,,,,
2/8/00,BBY,0.040909091,,2/8/00,SPY,0.013608428,,0.025423807,,,,,
2/9/00,BBY,-0.042576489,,2/9/00,SPY,-0.021005083,,-0.018674414,,,,,
2/10/00,BBY,-0.006841433,,2/10/00,SPY,0.001991036,,-0.00910707,,,,,
2/11/00,BBY,-0.013777341,,2/11/00,SPY,-0.020309051,,0.009332706,,,,,
2/14/00,BBY,-0.012805514,,2/14/00,SPY,0.005858495,,-0.019472005,,,,,
2/15/00,BBY,0.001179245,,2/15/00,SPY,0.011312502,,-0.011693461,,,,,
2/16/00,BBY,0.036513545,,2/16/00,SPY,-0.014730097,,0.053275197,,,,,
2/17/00,BBY,-0.010227273,,2/17/00,SPY,-0.005171194,,-0.004342874,,,,,
2/18/00,BBY,0.030998852,,2/18/00,SPY,-0.021468601,,0.055428373,,,,,
2/22/00,BBY,-0.042316187,,2/22/00,SPY,-0.002540756,,-0.039425014,,,,,
2/23/00,BBY,0,,2/23/00,SPY,0.011808634,,-0.013437264,,,,,
2/24/00,BBY,-0.037209374,,2/24/00,SPY,-0.0201373,,-0.014294765,,,,,
2/25/00,BBY,-0.072463768,,2/25/00,SPY,-0.003620035,,-0.068344462,,,,,
2/28/00,BBY,0.076822917,,2/28/00,SPY,0.020977619,,0.052952093,,,,,
2/29/00,BBY,0.056831923,,2/29/00,SPY,0.009641873,,0.045860255,,,,,
3/1/00,BBY,0.006864989,,3/1/00,SPY,0.007276035,,-0.001414547,,,,,
3/2/00,BBY,0.037499927,,3/2/00,SPY,0.000676869,,0.036729706,,,,,
3/3/00,BBY,0.060241108,,3/3/00,SPY,0.018723551,,0.038935231,,,,,
3/6/00,BBY,0.049586707,,3/6/00,SPY,-0.009743136,,0.060673603,,,,,
3/7/00,BBY,-0.075787402,,3/7/00,SPY,-0.01934312,,-0.053776505,,,,,
3/8/00,BBY,0.038338658,,3/8/00,SPY,-0.001253579,,0.039765129,,,,,
3/9/00,BBY,0.05025641,,3/9/00,SPY,0.029223744,,0.017002167,,,,,
3/10/00,BBY,-0.025390625,,3/10/00,SPY,-0.005323869,,-0.019332496,,,,,
3/13/00,BBY,-0.01503006,,3/13/00,SPY,-0.010928071,,-0.002594804,,,,,
3/14/00,BBY,0.020345815,,3/14/00,SPY,-0.014204859,,0.036509788,,,,,
3/15/00,BBY,0.054835561,,3/15/00,SPY,0.023330284,,0.028287596,,,,,
3/16/00,BBY,0.126654064,,3/16/00,SPY,0.046714021,,0.07349731,,,,,
3/17/00,BBY,0,,3/17/00,SPY,0.004057544,,-0.004617155,,,,,
3/20/00,BBY,-0.048657718,,3/20/00,SPY,-0.005104211,,-0.042849541,,,,,
3/21/00,BBY,0.037037037,,3/21/00,SPY,0.02052159,,0.013685137,,,,,
3/22/00,BBY,0.040816327,,3/22/00,SPY,0.006074262,,0.03390431,,,,,
3/23/00,BBY,0.055555556,,3/23/00,SPY,0.017072668,,0.036128248,,,,,
3/24/00,BBY,-0.034829721,,3/24/00,SPY,0.005936844,,-0.041585366,,,,,
3/27/00,BBY,-0.029671211,,3/27/00,SPY,-0.010582011,,-0.017629744,,,,,
3/28/00,BBY,0.084297521,,3/28/00,SPY,-0.005758947,,0.090850734,,,,,
3/29/00,BBY,0.012195122,,3/29/00,SPY,0.001034036,,0.011018474,,,,,
3/30/00,BBY,0.011295181,,3/30/00,SPY,-0.016738697,,0.030342455,,,,,
3/31/00,BBY,0.024571854,,3/31/00,SPY,0.011349306,,0.011657267,,,,,
4/3/00,BBY,-0.035610465,,4/3/00,SPY,0.005818786,,-0.042231771,,,,,
4/4/00,BBY,-0.065561417,,4/4/00,SPY,-0.007438017,,-0.057097559,,,,,
4/5/00,BBY,0.002419355,,4/5/00,SPY,-0.006244796,,0.009525425,,,,,
4/6/00,BBY,0.030571199,,4/6/00,SPY,0.008692411,,0.020679943,,,,,
4/7/00,BBY,0.021077283,,4/7/00,SPY,0.006334222,,0.013869454,,,,,
4/10/00,BBY,-0.012996942,,4/10/00,SPY,-0.003921063,,-0.008535091,,,,,
4/11/00,BBY,-0.01394268,,4/11/00,SPY,-0.002900353,,-0.010642314,,,,,
4/12/00,BBY,0.040062844,,4/12/00,SPY,-0.02742573,,0.071271093,,,,,
4/13/00,BBY,0.023413897,,4/13/00,SPY,-0.013885612,,0.039214594,,,,,
4/14/00,BBY,-0.17195572,,4/14/00,SPY,-0.057192374,,-0.106875451,,,,,
4/17/00,BBY,0.039215686,,4/17/00,SPY,0.034926471,,-0.000527795,,,,,
4/18/00,BBY,0.094339623,,4/18/00,SPY,0.026420632,,0.064275093,,,,,
4/19/00,BBY,-0.02507837,,4/19/00,SPY,-0.009301004,,-0.014494584,,,,,
4/20/00,BBY,0.024919614,,4/20/00,SPY,0.004803493,,0.019453629,,,,,
4/24/00,BBY,-0.013333333,,4/24/00,SPY,-0.010864841,,-0.000970028,,,,,
4/25/00,BBY,0.007949126,,4/25/00,SPY,0.041519888,,-0.039297128,,,,,
4/26/00,BBY,0.052050473,,4/26/00,SPY,-0.011284745,,0.064891595,,,,,
4/27/00,BBY,0.002248876,,4/27/00,SPY,-0.00330615,,0.006011005,,,,,
4/28/00,BBY,-0.033657442,,4/28/00,SPY,-0.006207507,,-0.026593804,,,,,
5/1/00,BBY,0.051857585,,5/1/00,SPY,0.013569135,,0.036417014,,,,,
5/2/00,BBY,-0.025018396,,5/2/00,SPY,-0.019974501,,-0.002289039,,,,,
5/3/00,BBY,-0.027924528,,5/3/00,SPY,-0.023417173,,-0.001277691,,,,,
5/4/00,BBY,-0.055900621,,5/4/00,SPY,0.007548845,,-0.064490593,,,,,
5/5/00,BBY,-0.030427632,,5/5/00,SPY,0.012119552,,-0.044218696,,,,,
5/8/00,BBY,-0.045801527,,5/8/00,SPY,-0.007511328,,-0.037254246,,,,,
5/9/00,BBY,-0.040888889,,5/9/00,SPY,-0.008006804,,-0.031777797,,,,,
5/10/00,BBY,0.028730306,,5/10/00,SPY,-0.022556391,,0.054397643,,,,,
5/11/00,BBY,0.059459459,,5/11/00,SPY,0.022850346,,0.033457625,,,,,
5/12/00,BBY,-0.028061224,,5/12/00,SPY,0.010838639,,-0.040394714,,,,,
5/15/00,BBY,0.043744532,,5/15/00,SPY,0.01728633,,0.024074095,,,,,
5/16/00,BBY,0.046940486,,5/16/00,SPY,0.009679821,,0.035925638,,,,,
5/17/00,BBY,-0.038430745,,5/17/00,SPY,-0.010439172,,-0.026551817,,,,,
5/18/00,BBY,0.025811823,,5/18/00,SPY,-0.012270946,,0.039775162,,,,,
5/19/00,BBY,-0.038149351,,5/19/00,SPY,-0.015693112,,-0.020291866,,,,,
5/22/00,BBY,-0.026160338,,5/22/00,SPY,-0.007528787,,-0.017593191,,,,,
5/23/00,BBY,0.012131716,,5/23/00,SPY,-0.014725569,,0.028888215,,,,,
5/24/00,BBY,-0.082191781,,5/24/00,SPY,0.016304348,,-0.100744802,,,,,
5/25/00,BBY,0.043843284,,5/25/00,SPY,-0.017157191,,0.063366771,,,,,
5/26/00,BBY,-0.108132261,,5/26/00,SPY,0.001133864,,-0.109422506,,,,,
5/30/00,BBY,0.053106212,,5/30/00,SPY,0.032608696,,0.01600017,,,,,
5/31/00,BBY,-0.025689819,,5/31/00,SPY,0.002192982,,-0.028185255,,,,,
6/1/00,BBY,0.104492188,,6/1/00,SPY,0.01750547,,0.084572387,,,,,
6/2/00,BBY,0.062776304,,6/2/00,SPY,0.017419038,,0.042954856,,,,,
6/5/00,BBY,-0.041597338,,6/5/00,SPY,-0.004861242,,-0.03606564,,,,,
6/6/00,BBY,-0.072916667,,6/6/00,SPY,-0.004460805,,-0.067840633,,,,,
6/7/00,BBY,-0.065543071,,6/7/00,SPY,0.00693387,,-0.073433251,,,,,
6/8/00,BBY,0.021042084,,6/8/00,SPY,-0.003919705,,0.02550239,,,,,
6/9/00,BBY,-0.019627085,,6/9/00,SPY,-0.002127208,,-0.017206496,,,,,
6/12/00,BBY,-0.055055055,,6/12/00,SPY,-0.011724269,,-0.041713791,,,,,
6/13/00,BBY,0.076271186,,6/13/00,SPY,0.01876586,,0.054917165,,,,,
6/14/00,BBY,0.061023622,,6/14/00,SPY,0.001693839,,0.059096171,,,,,
6/15/00,BBY,0.019480519,,6/15/00,SPY,0.002113719,,0.01707528,,,,,
6/16/00,BBY,0.010919017,,6/16/00,SPY,-0.010546302,,0.02291985,,,,,
6/19/00,BBY,-0.084608461,,6/19/00,SPY,0.012790454,,-0.099162957,,,,,
6/20/00,BBY,0.005899705,,6/20/00,SPY,-0.003577885,,0.009971047,,,,,
6/21/00,BBY,0.010752688,,6/21/00,SPY,-0.000422476,,0.011233431,,,,,
6/22/00,BBY,0.003868472,,6/22/00,SPY,-0.015215554,,0.021182534,,,,,
6/23/00,BBY,-0.020231214,,6/23/00,SPY,-0.008583691,,-0.010463672,,,,,
6/26/00,BBY,-0.056047198,,6/26/00,SPY,0.012878261,,-0.070701611,,,,,
6/27/00,BBY,0.0177084,,6/27/00,SPY,-0.007372381,,0.02609757,,,,,
6/28/00,BBY,0.046059362,,6/28/00,SPY,0.002799026,,0.042874298,,,,,
6/29/00,BBY,-0.031311215,,6/29/00,SPY,-0.009446114,,-0.020562306,,,,,
6/30/00,BBY,0.022222158,,6/30/00,SPY,0.00758529,,0.013590715,,,,,
7/3/00,BBY,0.014822199,,7/3/00,SPY,0.013766406,,-0.000842851,,,,,
7/5/00,BBY,-0.045764362,,7/5/00,SPY,-0.018034915,,-0.025242096,,,,,
7/6/00,BBY,0.045918367,,7/6/00,SPY,0.007778738,,0.037066796,,,,,
7/7/00,BBY,0.104390244,,7/7/00,SPY,0.016080302,,0.086092169,,,,,
7/10/00,BBY,0.04770318,,7/10/00,SPY,-0.00168812,,0.049624124,,,,,
7/11/00,BBY,0.021922428,,7/11/00,SPY,0.002113719,,0.019517188,,,,,
7/12/00,BBY,0.00990099,,7/12/00,SPY,0.006539017,,0.00246012,,,,,
7/13/00,BBY,-0.008169935,,7/13/00,SPY,0.004400362,,-0.013177189,,,,,
7/14/00,BBY,0.02553542,,7/14/00,SPY,0.009806277,,0.014376675,,,,,
7/17/00,BBY,0.019678034,,7/17/00,SPY,-0.001652893,,0.021558891,,,,,
7/18/00,BBY,0.002757661,,7/18/00,SPY,-0.008174874,,0.012060002,,,,,
7/19/00,BBY,-0.051846033,,7/19/00,SPY,-0.00803318,,-0.042704928,,,,,
7/20/00,BBY,-0.005799503,,7/20/00,SPY,0.013883046,,-0.021597279,,,,,
7/21/00,BBY,-0.000833333,,7/21/00,SPY,-0.019502075,,0.021358441,,,,,
7/24/00,BBY,-0.01000834,,7/24/00,SPY,-0.005713388,,-0.00350697,,,,,
7/25/00,BBY,-0.00926706,,7/25/00,SPY,0.003192483,,-0.012899845,,,,,
7/26/00,BBY,0.028911565,,7/26/00,SPY,-0.009758167,,0.040015565,,,,,
7/27/00,BBY,-0.001652893,,7/27/00,SPY,-0.003427592,,0.002247428,,,,,
7/28/00,BBY,-0.046357616,,7/28/00,SPY,-0.022571254,,-0.020673366,,,,,
7/31/00,BBY,0.010416667,,7/31/00,SPY,0.006378157,,0.003158843,,,,,
8/1/00,BBY,0.02233677,,8/1/00,SPY,0.006118881,,0.015373981,,,,,
8/2/00,BBY,0.010084034,,8/2/00,SPY,0.004995336,,0.004399747,,,,,
8/3/00,BBY,-0.042429285,,8/3/00,SPY,0.00691593,,-0.050299051,,,,,
8/4/00,BBY,-0.019982624,,8/4/00,SPY,0.005366276,,-0.026089009,,,,,
8/7/00,BBY,0.007978723,,8/7/00,SPY,0.011955594,,-0.005625769,,,,,
8/8/00,BBY,0.027264732,,8/8/00,SPY,0.003797468,,0.022943522,,,,,
